flower,type,href,height,weight,color,country,plantation,count_in_pack,availability,price,price_per_pack
Роза,Tr Piano Freiland кустовая пионовидная ,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_piano_freiland_kustovaya_pionovidnaya_60sm/,60 см,-,красный,Голландия,-,10,10,117.50,1 175.00
Лилия,Or Premium Blond 5+,https://bbflowers.ru/catalog/liliya/liliya_vostochnaya/liliya_or_premium_blond_5_100cm/,100cм,-,белый,Голландия,-,10,10,125.50,1 255.00
Дельфиниум,Triton Da Blue,https://bbflowers.ru/catalog/ekzotika/delfinium_triton_da_blue_80sm/,80 см,-,синий,Голландия,-,10,40,125.50,1 255.00
Пион,L Coral Sunset ,https://bbflowers.ru/catalog/pion/pion_l_coral_sunset_60sm/,60 см,-,коралловый,Голландия,-,10,37,149.50,1 495.00
Хлопок,,https://bbflowers.ru/catalog/ekzotika/hlopok_75sm/,75 см,-,белый,Голландия,-,1,8,169.50,169.50
Фисташка,,https://bbflowers.ru/catalog/zelen/fistashka_55sm/,55 см,-,зелёный,Голландия,-,1,225,195.50,195.50
Лаванда,сухая,https://bbflowers.ru/catalog/ekzotika/lavanda_suhaya_40sm/,40 см,-,фиолетовый,Голландия,-,1,60,265.50,265.50
Букет,Africa Mix,https://bbflowers.ru/catalog/ekzotika/buket_africa_mix_50sm/,50 см,-,микс,Голландия,-,8,3,325.50,2 604.00
Эвкалипт,Parvifoglia,https://bbflowers.ru/catalog/zelen/evkalipt_parvifoglia_70sm/,70 см,500 гр,зелёный,Голландия,-,1,7,865.50,865.50
Цимбидиум,T Cooksbridge,https://bbflowers.ru/catalog/ekzotika/cimbidium_t_cooksbridge_80sm/,80 см,-,жёлтый,Голландия,-,1,3,910.50,910.50
Эвкалипт,Cinerea,https://bbflowers.ru/catalog/zelen/evkalipt_cinerea_70sm_flower/,70 см,500 гр,зелёный,Голландия,-,1,50,1,1 050.50
Цимбидиум,T Bryce,https://bbflowers.ru/catalog/ekzotika/cimbidium_t_bryce_80sm/,80 см,-,розовый,Голландия,-,1,5,1,1 190.50
Цимбидиум,T Cascade,https://bbflowers.ru/catalog/ekzotika/cimbidium_t_cascade_80sm/,80 см,-,белый,Голландия,-,1,16,1,1 190.50
Цимбидиум,T Mix,https://bbflowers.ru/catalog/ekzotika/cimbidium_t_mix_80sm/,80 см,-,микс,Голландия,-,1,4,1,1 250.50
